ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
14,197,863.1014678782003,98.8432908804552,0.0,,,,,,,0
15,197,1203.6065360747198,100.403790465525,0.0,,,,,,,0
16,197,1536.6218727106998,102.1184096598,0.0,,,,,,,0
17,197,1862.7659894961307,103.994710199767,0.0,,,,,,,0
13,198,491.1809266520604,97.3425870891862,0.0,,,,,,,0
17,198,1835.0194831922909,103.827056625274,0.0,,,,,,,0
13,199,468.1727490293197,97.2563168646404,0.0,,,,,,,0
14,199,814.5502227453599,98.6357050336766,0.0,,,,,,,0
15,199,1152.77001126915,100.158844651037,0.0,,,,,,,0
16,199,1483.5503351238203,101.83199432805,0.0,,,,,,,0
17,199,1807.50555491452,103.662319567708,0.0,,,,,,,0
13,200,445.3564664898104,97.1714958107693,0.0,,,,,,,0
17,200,1780.2211010281399,103.500431184996,0.0,,,,,,,0
13,201,422.72953104255976,97.0880921493511,0.0,,,,,,,0
14,201,766.8054826854795,98.4350672024722,0.0,,,,,,,0
16,201,1431.36039108159,101.555300696094,0.0,,,,,,,0
17,201,1753.1630745625498,103.341325658371,0.0,,,,,,,0
13,202,400.28944098558986,97.0060749669542,0.0,,,,,,,0
15,202,1078.09162309748,99.8067777608803,0.0,,,,,,,0
17,202,1726.3284839010103,103.184939116929,0.0,,,,,,,0
13,203,378.03373984091013,96.9254141866281,0.0,,,,,,,0
15,203,1053.6081390568297,99.693335338849,0.0,,,,,,,0
16,203,1380.0288405206902,101.287893961318,0.0,,,,,,,0
17,203,1699.7143915071501,103.031209565633,0.0,,,,,,,0
18,203,2013.1885110109706,104.930771980061,0.0,,,,,,,0
13,204,355.96001531918955,96.8460805406871,0.0,,,,,,,0
13,205,334.0658983129397,96.768045544537,0.0,,,,,,,0
14,205,673.6513821401804,98.0534395690449,0.0,,,,,,,0
16,205,1329.53331466089,101.029363799267,0.0,,,,,,,0
17,205,1647.1362143840197,102.731482423348,0.0,,,,,,,0
18,205,1958.5681481556603,104.585510866073,0.0,,,,,,,0
13,206,312.34906191755,96.6912814714974,0.0,,,,,,,0
15,206,981.3484626172003,99.3641544478774,0.0,,,,,,,0
17,206,1621.1665140105297,102.58536961825,0.0,,,,,,,0
14,207,628.2018206871498,97.8718916945269,0.0,,,,,,,0
16,207,1279.8522384627004,100.779322676317,0.0,,,,,,,0
17,207,1595.4060783068398,102.441683252363,0.0,,,,,,,0
15,208,934.1421696068301,99.1535911749635,0.0,,,,,,,0
17,208,1569.85222223473,102.30036973816,0.0,,,,,,,0
14,209,583.4782955477503,97.6961736369627,0.0,,,,,,,0
15,209,910.8216590340999,99.0508629515864,0.0,,,,,,,0
16,209,1230.9647951240404,100.537404301964,0.0,,,,,,,0
17,209,1544.50230789965,102.161376994623,0.0,,,,,,,0
18,209,1851.9478444447705,103.929160610088,0.0,,,,,,,0
17,210,1519.35374350225,102.024654394712,0.0,,,,,,,0
14,211,539.4624258849099,97.5260418114002,0.0,,,,,,,0
15,211,864.7339872590201,98.8503337603906,0.0,,,,,,,0
16,211,1182.8508924869602,100.303262207105,0.0,,,,,,,0
17,211,1494.4039823180701,101.890152715054,0.0,,,,,,,0
18,211,1799.9036528916604,103.617067674422,0.0,,,,,,,0
15,212,841.9621809200098,98.7524638092224,0.0,,,,,,,0
17,212,1469.6505217045597,101.757824087756,0.0,,,,,,,0
14,213,496.13646469090963,97.3612652261634,0.0,,,,,,,0
16,213,1135.4911312346203,100.076568436221,0.0,,,,,,,0
17,213,1445.0909021345196,101.627621954227,0.0,,,,,,,0
15,214,796.9513133326,98.5613474868555,0.0,,,,,,,0
17,214,1420.7227062551501,101.499501020906,0.0,,,,,,,0
19,214,2020.44221102779,104.977090513527,0.0,,,,,,,0
14,215,453.48327122922,97.2016247018721,0.0,,,,,,,0
16,215,1088.8667747673599,99.8570123427264,0.0,,,,,,,0
17,215,1396.5435579719096,101.373417216811,0.0,,,,,,,0
18,215,1698.2422378440597,103.022745723008,0.0,,,,,,,0
19,215,1994.4020228460704,104.81132169214,0.0,,,,,,,0
17,216,1372.5511215564802,101.249327652811,0.0,,,,,,,0
19,216,1968.5629175195609,104.648226954862,0.0,,,,,,,0
15,217,730.7340816542601,98.2857603043516,0.0,,,,,,,0
16,217,1042.9597206544904,99.6442994779082,0.0,,,,,,,0
17,217,1348.7431007779496,101.127190582545,0.0,,,,,,,0
18,217,1648.5851660427797,102.739672047391,0.0,,,,,,,0
19,217,1942.9224220792403,104.487748308265,0.0,,,,,,,0
15,218,708.9996026300796,98.1967343628893,0.0,,,,,,,0
17,218,1325.1172380567104,101.006965364901,0.0,,,,,,,0
