ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
8,121,523.135,97.463,29.777,5000,5000,5000.0,15000,26220000,151923.226,10291,20365.175,1978.93,0.094
9,121,1086.297,99.845,158.206,5000,5000,5000.0,5000,315000,25020.941,54676,484758.711,8866.023,2.524
10,121,1628.935,102.628,388.156,5000,10000,5282.875,5000,20000,7646.834,126964,2504443.238,19725.617,14.493
9,122,1045.491,99.655,136.504,5000,10000,6392.065,10000,5970000,38094.089,36902,403381.165,10931.146,2.1
8,123,448.198,97.182,23.402,5000,5000,5000.0,20000,29235000,194358.229,8088,12277.77,1518.023,0.056
10,123,1541.978,102.147,358.02,5000,20000,13033.475,5000,30000,21550.688,47467,1993915.638,42006.354,11.538
9,124,965.528,99.293,107.826,5000,5000,5000.0,10000,6865000,39052.973,37265,275933.693,7404.634,1.437
11,124,2015.692,104.946,415.37,0,10000,5882.121,5000,10000,7571.031,122024,4546079.099,37255.614,28.939
8,125,375.264,96.915,17.534,5000,5000,5000.0,10000,31705000,260709.688,6060,6485.055,1070.141,0.03
9,125,926.347,99.119,107.734,5000,5000,5000.0,5000,6925000,39087.075,37233,275747.533,7405.998,1.436
11,125,1970.903,104.662,413.807,5000,10000,7390.342,5000,15000,9576.145,96756,4253475.475,43960.844,27.076
11,126,1926.708,104.386,413.09,30000,70000,55823.883,60000,85000,72562.177,12787,4248226.84,332230.143,27.043
8,127,304.25,96.662,3.897,5000,5000,5000.0,70000,39655000,1185360.326,1347,538.394,399.698,0.002
9,127,849.532,98.784,86.617,5000,10000,6476.633,35000,10910000,64522.913,23110,181060.938,7834.744,0.943
10,127,1374.942,101.261,275.665,0,10000,5105.792,5000,45000,12489.951,93296,1150100.717,12327.438,6.655
11,127,1883.093,104.118,410.153,5000,10000,5793.808,5000,10000,7625.912,122328,3951931.342,32306.024,25.156
9,128,811.876,98.624,77.042,5000,10000,6633.944,40000,13195000,75096.676,20068,145000.911,7225.478,0.755
11,128,1840.046,103.857,408.399,5000,10000,7316.748,5000,15000,9703.217,96452,3654817.503,37892.604,23.265
10,129,1294.672,100.853,256.111,5000,10000,5217.268,5000,180000,14135.455,84826,978027.667,11529.81,5.659
11,129,1797.557,103.603,406.44,5000,65000,47904.644,5000,80000,64069.577,14661,3359840.066,229168.546,21.387
9,130,738.016,98.315,68.582,5000,5000,5000.0,5000,15630000,64134.635,23702,112570.36,4749.403,0.586
11,130,1755.613,103.355,402.815,0,10000,5681.792,5000,20000,7718.212,122508,3069106.025,25052.29,19.537
9,131,701.791,98.167,59.89,5000,5000,5000.0,10000,17605000,74133.207,20698,85618.106,4136.54,0.445
10,131,1216.45,100.466,207.074,5000,35000,19313.704,35000,115000,69294.505,18527,694453.261,37483.308,4.018
11,131,1714.204,103.114,398.035,5000,10000,7153.681,5000,15000,9920.225,96147,2783777.145,28953.343,17.72
9,133,630.707,97.881,51.689,5000,10000,5220.338,35000,21545000,90449.178,17110,63477.752,3709.979,0.33
10,133,1140.193,100.098,182.664,5000,15000,5379.548,5000,130000,22597.743,58675,581264.75,9906.514,3.363
11,133,1632.944,102.651,388.107,0,10000,5610.115,5000,20000,8122.249,119543,2504659.6,20951.955,15.944
9,134,595.829,97.744,44.163,5000,5000,5000.0,10000,21875000,101092.91,15263,45495.91,2980.797,0.236
11,134,1593.074,102.428,373.234,5000,10000,6735.77,5000,30000,10408.933,95750,2241961.23,23414.738,14.271
11,135,1553.697,102.211,358.11,5000,60000,23147.116,5000,80000,38259.267,26734,1994138.514,74591.849,12.694
9,136,527.358,97.479,36.487,5000,5000,5000.0,15000,23990000,123253.231,12610,31199.37,2474.176,0.162
11,136,1514.802,102.0,340.341,5000,10000,5329.593,5000,45000,9546.929,110348,1762540.005,15972.559,11.219
9,137,493.749,97.352,29.557,5000,10000,6320.381,65000,29495000,193198.019,8081,20360.614,2519.566,0.106
10,137,993.269,99.417,121.076,0,10000,5757.609,25000,3225000,39419.187,36338,334526.896,9205.979,1.935
11,137,1476.382,101.793,340.04,5000,10000,6750.183,5000,30000,12108.171,87048,1760826.307,20228.222,11.208
12,137,1945.051,104.501,413.807,5000,30000,21762.79,20000,35000,28199.719,32857,4250367.741,129359.58,29.516
11,138,1438.426,101.592,314.227,5000,60000,42637.22,5000,190000,86271.792,12735,1543607.343,121209.842,9.826
9,139,427.741,97.106,23.402,5000,5000,5000.0,10000,28865000,194355.137,8088,12284.306,1518.831,0.063
10,139,922.458,99.102,96.524,5000,5000,5000.0,5000,8895000,44206.037,33359,225903.373,6771.886,1.307
11,139,1400.925,101.396,294.728,5000,10000,5449.108,5000,50000,12115.084,93463,1339320.123,14329.95,8.525
12,139,1865.088,104.008,408.59,5000,15000,5011.89,5000,60000,6640.981,140874,3656852.277,25958.319,25.394
9,140,395.327,96.988,17.5,5000,5000,5000.0,50000,31560000,261139.407,6048,6479.462,1071.339,0.033
11,140,1363.872,101.204,275.63,5000,10000,5727.53,5000,50000,14012.891,83158,1149916.867,13828.096,7.32
