ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
11,156,825.512,98.682,86.111,10000,40000,24987.405,170000,11270000,250720.524,5955,39881.968,6697.223,0.253
10,157,353.762,96.838,11.093,10000,10000,10000.0,70000,34670000,845417.536,1917,2663.135,1389.22,0.015
11,157,794.922,98.552,77.118,10000,10000,10000.0,20000,14010000,113189.493,13326,145304.732,10903.852,0.924
12,157,1222.892,100.497,207.199,10000,150000,88492.338,10000,530000,317320.148,4046,6454.711,1595.331,0.044
13,157,1639.123,102.686,387.934,0,20000,11616.642,10000,40000,16831.123,57706,2404935.953,41675.665,18.092
11,158,764.654,98.426,68.894,10000,10000,10000.0,20000,15900000,127893.145,11905,112936.411,9486.468,0.718
13,158,1605.289,102.496,373.229,0,30000,18632.345,20000,40000,28794.383,34614,1416036.572,40909.359,10.653
11,159,734.703,98.302,68.883,10000,40000,22395.108,170000,15940000,286511.102,5315,32017.835,6024.051,0.203
13,159,1571.81,102.311,358.2,10000,30000,17210.343,20000,80000,28434.823,35965,1046382.555,29094.468,7.872
14,159,1974.083,104.682,413.622,10000,20000,11996.307,10000,20000,15556.488,59580,4089069.239,68631.575,33.129
11,160,705.065,98.18,60.173,0,10000,9999.038,40000,18130000,147873.629,10399,85872.522,8257.767,0.546
13,160,1538.681,102.129,357.876,10000,20000,11979.35,10000,50000,19820.619,51623,1823282.434,35319.187,13.716
11,161,675.734,98.061,60.19,10000,10000,10000.0,30000,18280000,147842.307,10401,85838.532,8252.911,0.546
12,161,1096.587,99.893,158.292,0,10000,9999.634,10000,240000,50015.354,27354,485220.567,17738.559,3.369
13,161,1505.894,101.951,340.214,10000,60000,29982.15,10000,80000,53741.01,19608,647724.511,33033.685,4.872
11,162,646.706,97.945,52.332,10000,30000,19757.483,170000,22830000,338957.604,4577,24059.944,5256.706,0.153
13,162,1473.446,101.778,314.548,10000,20000,10005.89,10000,100000,20214.281,54322,1546430.496,28467.849,11.634
11,163,617.974,97.831,43.784,10000,10000,10000.0,40000,22360000,206974.223,7566,45500.626,6013.828,0.289
12,163,1035.377,99.609,136.608,0,20000,11362.148,20000,1040000,67652.466,20776,382967.359,18433.161,2.659
13,163,1441.329,101.607,314.311,10000,150000,106600.588,10000,480000,215626.226,5095,9321.305,1829.5,0.07
14,163,1836.993,103.838,408.049,10000,20000,10088.709,10000,60000,13399.484,69891,3653341.179,52271.983,29.598
11,164,589.534,97.719,44.531,10000,10000,10000.0,60000,22550000,203301.273,7695,45613.841,5927.724,0.29
13,164,1409.539,101.441,294.994,10000,20000,10218.297,10000,90000,22689.185,49886,1337155.393,26804.221,10.059
13,165,1378.071,101.277,294.924,10000,30000,17237.029,10000,60000,38287.502,29566,960169.129,32475.449,7.223
14,165,1770.531,103.443,402.609,0,20000,10010.503,10000,140000,13610.515,69498,3069284.317,44163.635,24.866
11,166,533.514,97.503,37.355,10000,10000,10000.0,40000,29950000,244327.548,6455,31141.893,4824.46,0.198
13,166,1346.919,101.117,275.659,0,20000,13704.076,20000,70000,33524.943,34759,860845.792,24766.126,6.476
11,167,505.923,97.398,29.861,10000,10000,10000.0,60000,27310000,308154.681,5160,20440.887,3961.412,0.13
12,167,916.634,99.076,96.689,0,30000,17641.22,100000,9630000,155702.217,9471,108056.259,11409.171,0.75
13,167,1316.078,100.961,256.383,0,20000,12602.548,10000,60000,34095.809,35154,791189.559,22506.387,5.952
14,167,1705.398,103.063,397.592,10000,20000,10177.013,10000,40000,14139.953,67509,2778603.399,41159.006,22.511
11,168,478.607,97.295,29.751,10000,20000,15196.571,170000,27020000,470082.791,3383,12813.47,3787.605,0.081
13,168,1285.543,100.807,254.988,10000,40000,15245.311,10000,60000,41554.963,28902,807949.764,27954.804,6.078
11,169,451.56,97.194,23.582,10000,10000,10000.0,40000,29410000,392832.596,4075,12305.253,3019.694,0.078
12,169,859.024,98.825,86.29,0,10000,9999.329,20000,11790000,100087.183,14912,182886.72,12264.399,1.27
14,169,1641.553,102.699,388.258,0,20000,10667.822,10000,40000,15434.727,62891,2477402.228,39391.999,20.071
15,169,2018.699,104.965,415.15,10000,20000,14510.113,10000,30000,18693.946,49440,3773875.712,76332.437,32.759
11,170,424.778,97.095,17.633,10000,10000,10000.0,60000,31710000,528532.501,3047,6507.723,2135.78,0.041
13,170,1225.374,100.509,233.136,10000,370000,230601.03,10000,1260000,709226.804,1747,1542.184,882.761,0.011
11,171,398.258,96.998,17.609,10000,20000,12245.472,170000,32780000,647922.705,2485,5514.542,2219.131,0.035
13,171,1195.729,100.365,207.233,10000,10000,10000.0,10000,100000,35841.827,35810,694701.984,19399.664,5.226
14,171,1578.955,102.35,373.067,10000,20000,11903.1,10000,50000,18407.991,54159,2094475.0,38672.704,16.969
11,172,371.995,96.903,11.238,10000,10000,10000.0,40000,34410000,834430.705,1942,2665.437,1372.521,0.016
13,172,1166.372,100.223,182.719,10000,30000,11894.966,10000,230000,49949.892,26544,556381.273,20960.717,4.185
15,172,1920.859,104.35,410.358,20000,40000,25887.12,20000,40000,34043.663,27392,1077071.725,39320.667,9.349
11,173,345.986,96.81,11.487,10000,10000,10000.0,60000,34210000,816098.79,1985,2691.393,1355.865,0.017
12,173,747.144,98.353,68.848,10000,20000,13714.121,90000,15970000,175531.473,8675,83900.728,9671.553,0.582
13,173,1137.298,100.085,182.418,10000,20000,11276.786,10000,180000,47448.84,27953,549938.314,19673.677,4.137
14,173,1517.565,102.014,340.098,0,20000,12387.546,10000,100000,22215.172,47442,1626666.09,34287.468,13.179
